id=Player.SpectrumDefault,hash=1725314091
id=Player.SpectrumDead,hash=-1114122467
id=Player.SpectrumLow,hash=1512779771
id=Player.SpectrumMedium,hash=-1649045678
id=Player.SpectrumHigh,hash=-1108058155
id=NowPlayingPanel.SectionHeader,hash=-81170906
id=Controls.SearchBoxSplitter,hash=-489636158
id=UseNativeButtonTheme,hash=-545041604
id=UseSystemColors,hash=976337283
id=MusicLibrary,hash=558083821,bitmap len=3067
id=BookmarksIcon,hash=-1619180584
id=PodcastsIcon,hash=-1204589671
id=RadioIcon,hash=-1708333759
id=AudiobooksIcon,hash=-662801112
id=VideoIcon,hash=-1675569859
id=InboxIcon,hash=187421471
id=PlayHistoryIcon,hash=507454711
id=DownloadsIcon,hash=-289251734
id=PlaylistNowPlayingIcon,hash=-227740274
id=PlaylistAutoDjIcon,hash=246813575
id=PlaylistIcon,hash=-1108012255
id=PlaylistAutoIcon,hash=-721226683
id=PlaylistMixerIcon,hash=-1990086960
id=UpcomingReleasesIcon,hash=-1915061455
id=WaitIndicator,hash=685456220,bitmap len=1849
id=InProgressIndicator,hash=-2125520935,bitmap len=847
id=FormBorderBottom,hash=600796000,bitmap len=162
id=FormBorderBottomLeft,hash=417864278,bitmap len=167
id=FormBorderBottomRight,hash=32512621,bitmap len=167
id=FormBorderLeft,hash=1247246715,bitmap len=160
id=FormBorderRight,hash=1652300762,bitmap len=160
id=FormBorderTop,hash=2043008185,bitmap len=228
id=FormBorderTopLeft,hash=294702731,bitmap len=228
id=FormBorderTopRight,hash=680370427,bitmap len=228
id=FormMaximiseButton,hash=1289881645,bitmap len=2963
id=FormMinimiseButton,hash=107356311,bitmap len=2856
id=FormRestoreButton,hash=1865602263,bitmap len=3055
id=FormHelpButton,hash=-1711945127,bitmap len=3089
id=FormCloseButton,hash=-729753283,bitmap len=3156
id=FormHelpHighlightButton,hash=-1341048544,bitmap len=3018
id=FormMinimiseHighlightButton,hash=-838161554,bitmap len=2859
id=FormMaximiseHighlightButton,hash=-100845625,bitmap len=2948
id=FormRestoreHighlightButton,hash=1930140599,bitmap len=2999
id=FormCloseHighlightButton,hash=-1035803836,bitmap len=3057
id=AzJump,hash=960882802,bitmap len=960
id=MiniPlayerLastFmLoveBright,hash=-535312797,bitmap len=263
id=MiniPlayerLastFmNotLove,hash=-1843638382,bitmap len=263
id=NoArtwork,hash=-888402318,bitmap len=30869
player panel
id=Panel,enum=0
id=NextTrackButton,enum=3
id=PrevTrackButton,enum=1
id=StopTrackButton,enum=4
id=PlayPauseButton,enum=2
id=Speaker,enum=5
id=VolumeSlidebar,enum=6
id=TrackInfoPanel,enum=8
id=Spectrum,enum=9
id=TrackInfoButton,enum=10
id=TrackText,enum=11
id=TrackLove,enum=12
id=TrackRating,enum=13
id=TrackPosition,enum=14
id=ProgressBar,enum=15
id=EqualiserButton,enum=16
id=LastFmButton,enum=17
id=RepeatButton,enum=18
id=ShuffleButton,enum=19
