id=FilterPanel.ListAlternating.Disabled,hash=1814828149
id=FilterPanel.ScrollBar,hash=-824402133
id=FilterPanel.ScrollBarThumb,hash=1681079883
id=FilterPanel.ScrollBarBackground,hash=1821947177
id=LyricsPanel,hash=-102595726
id=TrackInfoPanel,hash=937209355
id=TrackInfoPanel.ScrollBar,hash=-876189489
id=TrackInfoPanel.ScrollBarThumb,hash=365902169
id=TrackInfoPanel.ScrollBarBackground,hash=1387973856
id=ArtworkPanel,hash=355898194
id=Content[TrackDetail].Body.Default,hash=1502884812
id=Content[TrackDetail].Body.ListHeader,hash=1966238215
id=Content[TrackDetail].Body.Highlight,hash=1674118020
id=Content[TrackDetail].Body.Lowlight,hash=-933729579
id=Content[TrackDetail].ListAlternating.Default,hash=-860042142
id=Content[TrackDetail].Body.Disabled,hash=-121155685
id=Content[TrackDetail].ListAlternating.Disabled,hash=1602301005
id=Content[AlbumAndTracks].ArtistSplitterLine,hash=1466812036
id=Content[Artwork],hash=776855210
id=Content[Artwork].Body.Default,hash=-1555306140
id=Content[Artwork].Body.Highlight,hash=-385326472
id=Content[Artwork].Body.Lowlight,hash=-1380574261
id=Content[Artwork].HeaderControl.Default,hash=-1406296287
id=Content[Artwork].ArtworkText,hash=-125919453
id=UseArtworkBorders,hash=2100509242
id=Controls.ArtworkFrame,hash=1312228732
id=Content[ArtistProfile],hash=2091708299
id=Panel.StarRating.Default,hash=1289952621
id=Panel.StarRating.Highlight,hash=-170581859
id=Panel.StarRating.Lowlight,hash=450862885
id=Panel.NotLovedIcon.Highlight,hash=2054594730
id=Panel.NotLovedIcon.Lowlight,hash=2031267230
id=NowPlayingTabsBar.Background,hash=-115417868
id=NowPlayingTabsBar.Tab.Default,hash=920769191
id=NowPlayingTabsBar.Tab.Highlight,hash=1466129586
id=ScrollbarNoArrows,hash=464044808
id=Panel.ScrollBar.Default,hash=-713878242
id=Panel.ScrollBarThumb.Default,hash=-96905193
id=Panel.ScrollBarBackground.Default,hash=1594109793
id=Player.Background,hash=-1013849876
id=Player.DisplayPanel,hash=1127544461
id=Player.DisplayPanelBorder,hash=-1362386846
id=Player.ProgressBar,hash=789558653
id=Player.ProgressButton,hash=1327017872
id=PlayerInfoCentered,hash=2035508615
id=Player.StarRating.Default,hash=-811526649
id=Player.StarRating.Lowlight,hash=-1411237968
id=Player.SpectrumDefault,hash=1725314091
id=Player.SpectrumDead,hash=-1114122467
id=Player.SpectrumLow,hash=1512779771
id=Player.SpectrumMedium,hash=-1649045678
id=Player.SpectrumHigh,hash=-1108058155
id=Player.Control.Default,hash=-839381672
id=Player.Control.Disabled,hash=-1593417279
id=Player.Control.Highlight,hash=132708891
id=Player.Volume,hash=1519016010
id=Player.VolumeButton,hash=1782188067
id=Player.VolumeSlider,hash=-607064190
id=PlayerTop.Background,hash=-101766605
id=PlayerTop.DisplayPanel,hash=-409442689
id=PlayerTop.DisplayPanelBorder,hash=751630628
id=PlayerTop.ProgressBar,hash=-1743881527
id=PlayerTop.ProgressButton,hash=-1082243980
id=PlayerTop.StarRating.Default,hash=669319310
id=PlayerTop.StarRating.Lowlight,hash=2096220904
id=PlayerTop.SpectrumDefault,hash=-483643268
id=PlayerTop.SpectrumDead,hash=1188424233
id=PlayerTop.SpectrumLow,hash=-840462601
id=PlayerTop.SpectrumMedium,hash=-283708401
id=PlayerTop.SpectrumHigh,hash=340746611
id=PlayerTop.Control.Default,hash=-9851107
id=PlayerTop.Control.Disabled,hash=1538289684
id=PlayerTop.Control.Highlight,hash=-1683729145
id=PlayerTop.Volume,hash=-2086569189
id=PlayerTop.VolumeButton,hash=-131003554
id=PlayerTop.VolumeSlider,hash=-1464856574
id=PlayerFlat.Background,hash=641486254
id=PlayerFlat.DisplayPanel,hash=755135534
id=PlayerFlat.MetroButton.Default,hash=132313168
id=PlayerFlat.MetroButton.Highlight,hash=-1639398018
id=PlayerFlat.ProgressBar,hash=735796205
